Data,Ano,Mes,Produto,Valor_Venda
2012-01-01,2012,1,DIESEL,2.0277636986301353
2012-01-01,2012,1,DIESEL S50,2.0835454545454546
2012-01-01,2012,1,ETANOL,1.8735150798343876
2012-01-01,2012,1,GASOLINA,2.6466347517730533
2012-01-01,2012,1,GNV,1.3776513761467903
2012-02-01,2012,2,DIESEL,2.026552155771905
2012-02-01,2012,2,DIESEL S50,2.005
2012-02-01,2012,2,ETANOL,1.8014955423476824
2012-02-01,2012,2,GASOLINA,2.630559851301121
2012-02-01,2012,2,GNV,1.3777826086956533
2012-03-01,2012,3,DIESEL,2.0173084702907675
2012-03-01,2012,3,DIESEL S50,2.0665
2012-03-01,2012,3,ETANOL,1.846092790387148
2012-03-01,2012,3,GASOLINA,2.6469479653102157
2012-03-01,2012,3,GNV,1.3851578947368426
2012-04-01,2012,4,DIESEL,2.0318184319119674
2012-04-01,2012,4,DIESEL S50,2.1232857142857147
2012-04-01,2012,4,ETANOL,1.8681274158911605
2012-04-01,2012,4,GASOLINA,2.6398025751073098
2012-04-01,2012,4,GNV,1.3690439560439573
2012-05-01,2012,5,DIESEL,2.018845435684643
2012-05-01,2012,5,DIESEL S50,2.1674166666666665
2012-05-01,2012,5,ETANOL,1.8221963365769636
2012-05-01,2012,5,GASOLINA,2.6221734401831736
2012-05-01,2012,5,GNV,1.382135922330098
2012-06-01,2012,6,DIESEL,2.030398071625344
2012-06-01,2012,6,DIESEL S50,2.1530000000000005
2012-06-01,2012,6,ETANOL,1.7857358625626258
2012-06-01,2012,6,GASOLINA,2.630064423765215
2012-06-01,2012,6,GNV,1.438097826086956
2012-07-01,2012,7,DIESEL,2.0574741602067137
2012-07-01,2012,7,DIESEL S50,2.1679090909090912
2012-07-01,2012,7,ETANOL,1.7451023936170231
2012-07-01,2012,7,GASOLINA,2.6126515957446843
2012-07-01,2012,7,GNV,1.479430769230769
2012-08-01,2012,8,DIESEL,2.102477116704801
2012-08-01,2012,8,DIESEL S50,2.1981282051282043
2012-08-01,2012,8,ETANOL,1.7215803298717225
2012-08-01,2012,8,GASOLINA,2.605125229077579
2012-08-01,2012,8,GNV,1.4812178217821772
2012-09-01,2012,9,DIESEL,2.1128765264586113
2012-09-01,2012,9,DIESEL S50,2.228054054054054
2012-09-01,2012,9,ETANOL,1.7325300429184525
2012-09-01,2012,9,GASOLINA,2.615691702432047
2012-09-01,2012,9,GNV,1.4927763157894731
2012-10-01,2012,10,DIESEL,2.116848989298448
2012-10-01,2012,10,DIESEL S50,2.2285375000000007
2012-10-01,2012,10,ETANOL,1.7259493819894076
2012-10-01,2012,10,GASOLINA,2.60659741024131
2012-10-01,2012,10,GNV,1.4929716981132064
2012-11-01,2012,11,DIESEL,2.1053656207366984
2012-11-01,2012,11,DIESEL S50,2.2244400000000013
2012-11-01,2012,11,ETANOL,1.7384795847750796
2012-11-01,2012,11,GASOLINA,2.605386583679112
2012-11-01,2012,11,GNV,1.4857142857142847
2012-12-01,2012,12,DIESEL,2.123539130434783
2012-12-01,2012,12,DIESEL S50,2.2308072289156633
2012-12-01,2012,12,ETANOL,1.8012004294917514
2012-12-01,2012,12,GASOLINA,2.62171152469578
2012-12-01,2012,12,GNV,1.5650476190476195
2013-01-01,2013,1,DIESEL,2.12566235294117
2013-01-01,2013,1,DIESEL S10,2.2493636363636367
2013-01-01,2013,1,ETANOL,1.8183924485125587
2013-01-01,2013,1,GASOLINA,2.628355263157886
2013-01-01,2013,1,GNV,1.583978947368421
2013-02-01,2013,2,DIESEL,2.2121340057636876
2013-02-01,2013,2,DIESEL S10,2.3402999999999996
2013-02-01,2013,2,ETANOL,1.8695557939913812
2013-02-01,2013,2,GASOLINA,2.739193848354785
2013-02-01,2013,2,GNV,1.5867368421052632
2013-03-01,2013,3,DIESEL,2.2750993883791977
2013-03-01,2013,3,DIESEL S10,2.404558620689657
2013-03-01,2013,3,ETANOL,1.9493842293906563
2013-03-01,2013,3,GASOLINA,2.753922580645152
2013-03-01,2013,3,GNV,1.5884659090909097
2013-04-01,2013,4,DIESEL,2.2966280323450055
2013-04-01,2013,4,DIESEL S10,2.4387589285714313
2013-04-01,2013,4,ETANOL,1.9518276291225538
2013-04-01,2013,4,GASOLINA,2.7493067828251263
2013-04-01,2013,4,GNV,1.590010101010101
2013-05-01,2013,5,DIESEL,2.2892681818181764
2013-05-01,2013,5,DIESEL S10,2.4416088888888923
2013-05-01,2013,5,ETANOL,1.8650761223161814
2013-05-01,2013,5,GASOLINA,2.7218244473342064
2013-05-01,2013,5,GNV,1.592794871794872
2013-06-01,2013,6,DIESEL,2.2861428571428495
2013-06-01,2013,6,DIESEL S10,2.4461270491803306
2013-06-01,2013,6,ETANOL,1.7511709585121622
2013-06-01,2013,6,GASOLINA,2.699436337625191
2013-06-01,2013,6,GNV,1.6635747126436777
2013-07-01,2013,7,DIESEL,2.2828784194528846
2013-07-01,2013,7,DIESEL S10,2.445604938271608
2013-07-01,2013,7,ETANOL,1.7447492844876917
2013-07-01,2013,7,GASOLINA,2.6951402404121274
2013-07-01,2013,7,GNV,1.6982058823529422
2013-08-01,2013,8,DIESEL,2.2821819852941108
2013-08-01,2013,8,DIESEL S10,2.432967346938779
2013-08-01,2013,8,ETANOL,1.7178632784538304
