Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1961","1961","ha","2097"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1962","1962","ha","2349"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1963","1963","ha","2324"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1964","1964","ha","2271"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1965","1965","ha","2375"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1966","1966","ha","2378"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1967","1967","ha","2412"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1968","1968","ha","2522"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1969","1969","ha","2770"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1970","1970","ha","2880"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1971","1971","ha","2918"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1972","1972","ha","3080"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1973","1973","ha","3781"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1974","1974","ha","4422"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1975","1975","ha","5123"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1976","1976","ha","5996"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1977","1977","ha","6593"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1978","1978","ha","7183"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1979","1979","ha","8484"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1980","1980","ha","10401"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1981","1981","ha","10600"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1982","1982","ha","14496"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1983","1983","ha","16840"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1984","1984","ha","18999"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1985","1985","ha","20061"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1986","1986","ha","20975"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1987","1987","ha","20978"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1988","1988","ha","22296"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1989","1989","ha","20848"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1990","1990","ha","22337"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1991","1991","ha","25630"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1992","1992","ha","24181"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1993","1993","ha","25652"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1994","1994","ha","27112"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1995","1995","ha","26704"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1996","1996","ha","25326"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1997","1997","ha","26418"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1998","1998","ha","26318"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","1999","1999","ha","28555"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2000","2000","ha","30043"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2001","2001","ha","30938"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2002","2002","ha","31519"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2003","2003","ha","31532"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2004","2004","ha","32993"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2005","2005","ha","35493"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2006","2006","ha","36107"
