,SG_UF_RESIDENCIA,NU_IDADE,TP_ESCOLA,Q006,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Região,Opção,Renda,NovaRenda
0,RJ,18,2,C,377.3,366.7,478.8,453.0,280,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
1,RJ,18,2,C,572.8,631.1,562.7,738.1,700,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
2,RJ,18,2,C,378.0,330.7,331.9,395.8,0,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
3,RJ,18,2,C,598.6,618.5,610.9,651.2,800,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
4,RJ,17,2,C,534.1,615.8,610.4,508.8,840,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
5,RJ,19,2,C,441.1,536.5,524.0,418.4,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
6,RJ,18,2,C,500.7,494.6,546.3,573.1,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
7,RJ,17,2,C,465.6,475.2,571.4,453.6,560,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
8,RJ,18,2,C,532.3,567.7,585.5,702.1,640,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
9,RJ,18,2,C,453.9,523.7,509.0,579.5,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
10,RJ,18,2,C,475.2,502.5,552.8,518.7,700,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
11,RJ,18,2,C,485.3,513.4,529.0,439.6,680,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
12,RJ,18,2,C,549.1,514.3,569.1,575.0,620,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
13,RJ,19,2,C,410.3,479.5,467.9,417.1,360,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
14,RJ,18,2,C,558.8,516.5,523.1,550.7,720,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
15,RJ,18,2,C,455.3,464.0,488.9,432.1,520,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
16,RJ,19,2,C,523.9,584.9,522.4,687.1,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
17,RJ,18,2,C,560.8,643.5,589.7,651.2,760,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
18,RJ,18,2,C,462.2,533.5,495.2,457.5,440,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
19,RJ,17,2,C,413.3,429.4,487.4,471.8,580,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
20,RJ,18,2,C,423.3,576.8,541.3,529.9,580,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
21,RJ,17,2,C,421.8,372.9,340.4,483.9,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
22,RJ,20,2,C,482.2,443.8,445.3,440.1,600,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
23,RJ,17,2,C,376.3,443.7,540.7,640.3,580,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
24,RJ,19,2,C,436.9,412.3,537.8,374.6,640,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
25,RJ,17,2,C,516.9,511.5,513.0,485.8,420,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
26,RJ,18,2,C,485.9,513.1,542.9,523.8,380,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
27,RJ,19,2,C,408.8,425.0,524.7,379.7,0,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
28,RJ,17,2,C,554.7,558.8,576.5,466.0,680,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
29,RJ,17,2,C,435.7,455.5,528.2,425.7,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
30,RJ,18,2,C,582.1,588.3,575.2,668.2,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
31,RJ,18,2,C,462.9,574.3,501.4,392.4,660,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
32,RJ,18,2,C,381.6,398.9,495.3,572.2,640,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
33,RJ,17,2,C,558.2,614.7,580.4,676.4,800,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
34,RJ,17,2,C,497.8,606.3,613.0,466.1,880,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
35,RJ,18,2,C,531.7,576.3,590.5,598.8,780,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
36,RJ,19,2,C,587.7,589.7,601.9,404.1,700,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
37,RJ,17,2,C,465.4,438.2,477.8,584.4,320,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
38,RJ,18,2,C,500.8,454.6,531.4,449.1,740,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
39,RJ,17,2,C,401.5,483.2,504.7,449.1,560,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
40,RJ,19,2,C,464.6,533.9,504.2,462.4,500,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
41,RJ,17,2,C,377.1,404.5,419.5,413.3,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
42,RJ,17,2,C,507.1,484.3,510.1,438.2,620,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
43,RJ,18,2,C,457.7,539.4,532.4,631.0,780,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
44,RJ,18,2,C,432.9,477.4,486.1,502.6,440,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
45,RJ,18,2,C,468.9,461.5,554.2,572.0,600,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
46,RJ,18,2,C,515.6,545.8,545.2,390.6,460,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
47,RJ,17,2,C,427.8,481.9,436.9,448.9,420,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
48,RJ,17,2,C,441.6,383.4,516.8,381.4,640,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
49,RJ,20,2,C,450.9,500.4,528.3,475.2,340,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
50,RJ,18,2,C,518.1,565.7,543.6,484.1,640,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
51,RJ,18,2,C,481.7,535.9,570.9,478.0,720,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
52,RJ,18,2,C,536.8,566.4,601.6,630.4,700,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
53,RJ,18,2,C,501.4,521.3,595.8,635.5,800,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
54,RJ,18,2,C,339.0,529.6,483.3,404.2,600,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
55,RJ,19,2,C,396.2,322.7,367.8,508.7,0,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
56,RJ,19,2,C,380.0,417.1,397.8,467.8,200,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
57,RJ,18,2,C,396.1,461.8,515.8,488.5,580,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
58,RJ,18,2,C,591.3,610.3,583.0,679.9,820,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
59,RJ,18,2,C,497.6,481.0,533.7,433.3,640,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
